Title	Score	Episodes	Aired	Votes
"Fullmetal Alchemist: Brotherhood

"	9.14	TV (64 eps)	Apr 2009 - Jul 2010	2,895,245 members
"Gintama



"	9.08	TV (51 eps)	Apr 2015 - Mar 2016	537,423 members
"Steins;Gate



"	9.08	TV (24 eps)	Apr 2011 - Sep 2011	2,246,631 members
"Shingeki no Kyojin Season 3 Part 2




"	9.07	TV (10 eps)	Apr 2019 - Jul 2019	1,849,709 members
"Gintama'



"	9.05	TV (51 eps)	Apr 2011 - Mar 2012	473,756 members
"Hunter x Hunter (2011)



"	9.05	TV (148 eps)	Oct 2011 - Sep 2014	2,384,407 members
"Gintama': Enchousen



"	9.04	TV (13 eps)	Oct 2012 - Mar 2013	282,513 members
"Fruits Basket: The Final



 
"	9.03	TV (13 eps)	Apr 2021 - Jun 2021	351,472 members
"Spy x Family


"	9.02	TV (12 eps)	Apr 2022 - Jun 2022	776,383 members
"Gintama.



"	8.99	TV (12 eps)	Jan 2017 - Mar 2017	269,348 members
"Kaguya-sama wa Kokurasetai: Ultra Romantic


"	8.96	TV (12 eps)	Apr 2022 - Jun 2022	491,804 members
"3-gatsu no Lion 2nd Season



"	8.95	TV (22 eps)	Oct 2017 - Mar 2018	353,099 members
"Gintama

"	8.95	TV (201 eps)	Apr 2006 - Mar 2010	946,472 members
"Clannad: After Story



"	8.94	TV (24 eps)	Oct 2008 - Mar 2009	1,082,388 members
"Code Geass: Hangyaku no Lelouch R2



"	8.91	TV (25 eps)	Apr 2008 - Sep 2008	1,572,371 members
"Owarimonogatari 2nd Season




"	8.9	TV (7 eps)	Aug 2017 - Aug 2017	349,691 members
"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen



"	8.88	TV (14 eps)	Jul 2018 - Oct 2018	164,580 members
"Kimetsu no Yaiba: Yuukaku-hen



"	8.87	TV (11 eps)	Dec 2021 - Feb 2022	893,920 members
"Shingeki no Kyojin: The Final Season



"	8.84	TV (16 eps)	Dec 2020 - Mar 2021	1,598,411 members
"Shingeki no Kyojin: The Final Season Part 2



"	8.84	TV (12 eps)	Jan 2022 - Apr 2022	871,532 members
"Monster



"	8.83	TV (74 eps)	Apr 2004 - Sep 2005	858,110 members
"Kingdom 4th Season



"	8.82	TV (26 eps)	Apr 2022 -Ongoing	27,485 members
"Gintama.: Shirogane no Tamashii-hen



"	8.81	TV (12 eps)	Jan 2018 - Mar 2018	178,333 members
"Kingdom 3rd Season



"	8.81	TV (26 eps)	Apr 2020 - Oct 2021	70,464 members
"Mob Psycho 100 II



"	8.81	TV (13 eps)	Jan 2019 - Apr 2019	1,240,770 members
"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou



"	8.79	TV (10 eps)	Oct 2016 - Dec 2016	1,038,960 members
"Monogatari Series: Second Season




"	8.78	TV (26 eps)	Jul 2013 - Dec 2013	611,584 members
"Cowboy Bebop



"	8.76	TV (26 eps)	Apr 1998 - Apr 1999	1,620,487 members
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen




"	8.75	TV (12 eps)	Jan 2017 - Mar 2017	169,886 members
"Mushishi Zoku Shou 2nd Season




"	8.74	TV (10 eps)	Oct 2014 - Dec 2014	237,310 members
"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2



"	8.74	TV (12 eps)	Oct 2021 - Dec 2021	597,144 members
"Odd Taxi



"	8.74	TV (13 eps)	Apr 2021 - Jun 2021	311,117 members
"Hajime no Ippo



"	8.74	TV (75 eps)	Oct 2000 - Mar 2002	483,609 members
"Vinland Saga




"	8.73	TV (24 eps)	Jul 2019 - Dec 2019	1,103,855 members
"Mushishi Zoku Shou




"	8.71	TV (10 eps)	Apr 2014 - Jun 2014	270,183 members
"86 Part 2



"	8.71	TV (12 eps)	Oct 2021 - Mar 2022	311,820 members
"Ashita no Joe 2



"	8.71	TV (47 eps)	Oct 1980 - Aug 1981	41,922 members
"Code Geass: Hangyaku no Lelouch



"	8.7	TV (25 eps)	Oct 2006 - Jul 2007	1,994,254 members
"Great Teacher Onizuka



"	8.69	TV (43 eps)	Jun 1999 - Sep 2000	727,120 members
"Jujutsu Kaisen 



"	8.68	TV (24 eps)	Oct 2020 - Mar 2021	1,876,361 members
"Made in Abyss



"	8.68	TV (13 eps)	Jul 2017 - Sep 2017	1,138,870 members
"Mushishi




"	8.67	TV (26 eps)	Oct 2005 - Jun 2006	741,899 members
"Violet Evergarden



"	8.67	TV (13 eps)	Jan 2018 - Apr 2018	1,511,049 members
"Shigatsu wa Kimi no Uso



"	8.66	TV (22 eps)	Oct 2014 - Mar 2015	1,941,497 members
"Hajime no Ippo: New Challenger



"	8.66	TV (26 eps)	Jan 2009 - Jul 2009	243,196 members
"Haikyuu!! Second Season



"	8.65	TV (25 eps)	Oct 2015 - Mar 2016	1,243,759 members
"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen



"	8.65	TV (12 eps)	Apr 2020 - Jun 2020	1,084,219 members
"Natsume Yuujinchou Shi


"	8.65	TV (13 eps)	Jan 2012 - Mar 2012	223,280 members
"One Piece



"	8.65	TV (? eps)	Oct 1999 -	1,890,707 members
"Natsume Yuujinchou Roku



"	8.63	TV (11 eps)	Apr 2017 - Jun 2017	164,890 members
"Ousama Ranking


"	8.63	TV (23 eps)	Oct 2021 - Mar 2022	420,388 members
"Tengen Toppa Gurren Lagann



"	8.63	TV (27 eps)	Apr 2007 - Sep 2007	1,450,101 members
"Ping Pong the Animation



"	8.62	TV (11 eps)	Apr 2014 - Jun 2014	343,352 members
"Shingeki no Kyojin Season 3




"	8.62	TV (12 eps)	Jul 2018 - Oct 2018	1,970,117 members
"Death Note



"	8.62	TV (37 eps)	Oct 2006 - Jun 2007	3,418,953 members
"Hajime no Ippo: Rising



"	8.59	TV (25 eps)	Oct 2013 - Mar 2014	216,373 members
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze



"	8.58	TV (39 eps)	Oct 2018 - Jul 2019	843,569 members
"Natsume Yuujinchou Go



"	8.58	TV (11 eps)	Oct 2016 - Dec 2016	164,164 members
"Natsume Yuujinchou San


"	8.58	TV (13 eps)	Jul 2011 - Sep 2011	230,376 members
"Shouwa Genroku Rakugo Shinjuu


"	8.58	TV (13 eps)	Jan 2016 - Apr 2016	266,031 members
"Yojouhan Shinwa Taikei



"	8.57	TV (11 eps)	Apr 2010 - Jul 2010	392,964 members
"Fruits Basket 2nd Season



"	8.57	TV (25 eps)	Apr 2020 - Sep 2020	402,702 members
"Fate/Zero 2nd Season



"	8.56	TV (12 eps)	Apr 2012 - Jun 2012	1,005,985 members
"Kimetsu no Yaiba


"	8.55	TV (26 eps)	Apr 2019 - Sep 2019	2,448,779 members
"Zoku Natsume Yuujinchou



"	8.55	TV (13 eps)	Jan 2009 - Mar 2009	227,409 members
"Slam Dunk



"	8.54	TV (101 eps)	Oct 1993 - Mar 1996	256,242 members
"Sora yori mo Tooi Basho


"	8.54	TV (13 eps)	Jan 2018 - Mar 2018	439,906 members
"Yakusoku no Neverland



"	8.54	TV (12 eps)	Jan 2019 - Mar 2019	1,693,641 members
"Bakuman. 3rd Season



"	8.54	TV (25 eps)	Oct 2012 - Mar 2013	306,722 members
"Haikyuu!! To the Top Part 2



"	8.54	TV (12 eps)	Oct 2020 - Dec 2020	656,349 members
"Kenpuu Denki Berserk



"	8.54	TV (25 eps)	Oct 1997 - Apr 1998	541,295 members
"Gintama.: Porori-hen



"	8.53	TV (13 eps)	Oct 2017 - Dec 2017	173,918 members
"Shingeki no Kyojin



 
"	8.53	TV (25 eps)	Apr 2013 - Sep 2013	3,435,959 members
"Yuru Camp△ Season 2



"	8.53	TV (13 eps)	Jan 2021 - Apr 2021	180,656 members
"Nana


"	8.52	TV (47 eps)	Apr 2006 - Mar 2007	551,280 members
"Steins;Gate 0


"	8.52	TV (23 eps)	Apr 2018 - Sep 2018	762,679 members
"Koukaku Kidoutai: Stand Alone Complex 2nd GIG



"	8.52	TV (26 eps)	Jan 2004 - Jan 2005	211,301 members
"Ansatsu Kyoushitsu 2nd Season



"	8.51	TV (25 eps)	Jan 2016 - Jul 2016	1,237,866 members
"One Punch Man



"	8.51	TV (12 eps)	Oct 2015 - Dec 2015	2,805,549 members
"Samurai Champloo



"	8.5	TV (26 eps)	May 2004 - Mar 2005	1,104,187 members
"Shingeki no Kyojin Season 2




"	8.5	TV (12 eps)	Apr 2017 - Jun 2017	2,325,904 members
"Uchuu Kyoudai




"	8.5	TV (99 eps)	Apr 2012 - Mar 2014	175,907 members
"Aria the Origination



"	8.5	TV (13 eps)	Jan 2008 - Apr 2008	115,569 members
"Banana Fish



"	8.5	TV (24 eps)	Jul 2018 - Dec 2018	716,127 members
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai

"	8.5	TV (39 eps)	Apr 2016 - Dec 2016	938,283 members
"Karakai Jouzu no Takagi-san 3


"	8.5	TV (12 eps)	Jan 2022 - Mar 2022	134,063 members
"Rainbow: Nisha Rokubou no Shichinin



"	8.49	TV (26 eps)	Apr 2010 - Sep 2010	359,375 members
"Mob Psycho 100



"	8.48	TV (12 eps)	Jul 2016 - Sep 2016	1,735,950 members
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2



"	8.48	TV (12 eps)	Jan 2021 - Mar 2021	703,807 members
"Chihayafuru 3




"	8.48	TV (24 eps)	Oct 2019 - Mar 2020	119,986 members
"Nichijou



"	8.46	TV (26 eps)	Apr 2011 - Sep 2011	789,433 members
"Owarimonogatari



"	8.46	TV (12 eps)	Oct 2015 - Dec 2015	435,280 members
"Vivy: Fluorite Eye's Song



"	8.45	TV (13 eps)	Apr 2021 - Jun 2021	423,608 members
"Yuu☆Yuu☆Hakusho


"	8.45	TV (112 eps)	Oct 1992 - Jan 1995	600,131 members
"Golden Kamuy 3rd Season


"	8.45	TV (12 eps)	Oct 2020 - Dec 2020	127,066 members
"Haikyuu!!



"	8.45	TV (25 eps)	Apr 2014 - Sep 2014	1,701,435 members
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season


"	8.44	TV (24 eps)	Jan 2015 - Jun 2015	935,670 members
"Saiki Kusuo no Ψ-nan 2



"	8.44	TV (24 eps)	Jan 2018 - Jun 2018	540,859 members
"Mononoke



"	8.43	TV (12 eps)	Jul 2007 - Sep 2007	278,180 members
"Saiki Kusuo no Ψ-nan



"	8.43	TV (120 eps)	Jul 2016 - Dec 2016	922,256 members
